"tr_n";"k";"p";"o";"s";"tr_type";"tr_cap"
"5/6";13;0;0;1;"rapid";486
"239/240";11;7;0;0;"rapid";774
"64/63";8;7;0;1;"rapid";684
"67/68л";9;8;0;0;"rapid";756
"81/82з";6;9;0;0;"rapid";702
"91/92з";9;10;0;0;"rapid";864
"99/99л";9;6;0;0;"rapid";648
"99/99з";8;7;0;0;"rapid";666
"115/115";9;7;0;0;"rapid";702
"127/128л";7;12;0;0;"rapid";900
"127/128з";9;11;0;0;"rapid";918
"129/129л";5;9;0;0;"rapid";666
"129/129з";7;8;0;0;"rapid";684
"137/138";8;7;0;0;"rapid";666
"197/197л";8;7;0;0;"rapid";666
"197/197з";7;8;0;0;"rapid";684
"205/205л";8;7;0;0;"rapid";666
"235/235л";10;6;0;0;"rapid";684
"241/242л";11;7;0;0;"rapid";774
"269/270л";10;8;0;0;"rapid";792
"273/274л";10;8;0;0;"rapid";792
"339/340л";8;12;0;1;"pass";954
"339/340з";8;12;0;1;"pass";954
"349/350л";9;11;0;0;"pass";918
"348/347";10;10;1;0;"pass";981
"358/357";5;8;3;0;"pass";855
"124/124л";7;8;0;0;"pass";684
"124/124з";7;12;0;0;"pass";900
"606/605";6;8;2;0;"pass";810
"659/659";3;9;0;0;"pass";594
"7/7";10;10;0;1;"rapid";918
"14/14л";9;11;0;1;"rapid";936
"14/14з";11;8;0;0;"rapid";828
"15/15";7;7;0;1;"rapid";648
"17/17";11;7;0;2;"rapid";810
"47/47";8;8;2;0;"rapid";882
"52/52";14;3;0;0;"rapid";666
"52/51";14;3;0;0;"rapid";666
"55/55";5;9;0;1;"rapid";684
"193/193";8;8;0;0;"rapid";720
"68/67";6;10;0;0;"rapid";756
"69/70";12;2;0;0;"rapid";540
"79/79";7;7;0;1;"rapid";648
"85/86";9;7;0;1;"rapid";720
"93/93";9;8;0;1;"rapid";774
"99/99л";9;6;0;0;"rapid";648
"99/99з";8;7;0;0;"rapid";666
"129/129л";5;9;0;0;"rapid";666
"129/129з";7;8;0;0;"rapid";684
"211/211";8;9;0;0;"rapid";774
"235/235";10;6;0;0;"rapid";684
"107/108";5;11;0;0;"rapid";774
"109/109";7;9;0;0;"rapid";738
"115/115";9;7;0;0;"rapid";702
"127/127л";7;12;0;0;"rapid";900
"127/127/з";9;11;0;0;"rapid";918
"137/137";6;5;4;0;"rapid";810
"307/307";6;5;4;0;"rapid";810
"142/142з";6;13;0;0;"rapid";918
"205/205";8;7;0;0;"rapid";666
"243/243";6;9;0;0;"rapid";702
"423/423";8;8;0;0;"rapid";720
"457/457";9;6;0;0;"rapid";648
"237/237";9;9;0;0;"rapid";810
"239/239";6;7;3;1;"rapid";855
"241/242";11;7;0;0;"rapid";774
"269/270";10;8;0;0;"rapid";792
"273/274";10;8;0;0;"rapid";792
"510/510";11;6;0;0;"rapid";720
"536/536";8;8;0;1;"rapid";738
"249/249";7;9;0;0;"rapid";738
"445/446";8;8;0;0;"rapid";720
"483/484";10;8;0;0;"rapid";792
"257/257";7;10;0;0;"rapid";792
"401/401";8;11;0;1;"rapid";900
"368/367л";7;9;1;0;"pass";819
"403/404";7;8;0;0;"pass";684
"407/408";8;10;0;0;"pass";828
